Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY29,184576825.79999995,3,2.5
Baseline,expenditure,FY29,185478298.57800004,3,2.75
Baseline,expenditure,FY29,186381967.39200002,3,3
Baseline,expenditure,FY29,187287832.24199998,3,3.25
Baseline,expenditure,FY29,188195893.12799996,3,3.5
Baseline,expenditure,FY29,189106150.05000004,3,3.75
Baseline,expenditure,FY29,190018603.00800002,3,4
Baseline,expenditure,FY29,190933252.002,3,4.25
Baseline,expenditure,FY29,191850097.03199998,3,4.5
Baseline,expenditure,FY29,192769138.09800002,3,4.75
Baseline,expenditure,FY29,193690375.20000002,3,5
Baseline,expenditure,FY29,194613808.338,3,5.25
Baseline,expenditure,FY30,186436077.71904,2,2
Baseline,expenditure,FY30,187810293.91180497,2,2.25
Baseline,expenditure,FY30,189191246.44499993,2,2.5
Baseline,expenditure,FY30,190578951.78889504,2,2.75
Baseline,expenditure,FY30,191973426.41376004,2,3
Baseline,expenditure,FY30,193374686.789865,2,3.25
Baseline,expenditure,FY30,194782749.38747993,2,3.5
Baseline,expenditure,FY30,196197630.67687505,2,3.75
Baseline,expenditure,FY30,197619347.12832004,2,4
Baseline,expenditure,FY30,199047915.212085,2,4.25
Baseline,expenditure,FY30,200483351.39843997,2,4.5
Baseline,expenditure,FY30,201925672.15765503,2,4.75
Baseline,expenditure,FY30,203374893.96000004,2,5
Baseline,expenditure,FY30,204831033.275745,2,5.25
Baseline,expenditure,FY30,186436077.71904,2.1,2
Baseline,expenditure,FY30,187810293.91180497,2.1,2.25
Baseline,expenditure,FY30,189191246.44499993,2.1,2.5
Baseline,expenditure,FY30,190578951.78889504,2.1,2.75
Baseline,expenditure,FY30,191973426.41376004,2.1,3
Baseline,expenditure,FY30,193374686.789865,2.1,3.25
Baseline,expenditure,FY30,194782749.38747993,2.1,3.5
Baseline,expenditure,FY30,196197630.67687505,2.1,3.75
Baseline,expenditure,FY30,197619347.12832004,2.1,4
Baseline,expenditure,FY30,199047915.212085,2.1,4.25
Baseline,expenditure,FY30,200483351.39843997,2.1,4.5
Baseline,expenditure,FY30,201925672.15765503,2.1,4.75
Baseline,expenditure,FY30,203374893.96000004,2.1,5
Baseline,expenditure,FY30,204831033.275745,2.1,5.25
Baseline,expenditure,FY30,186436077.71904,2.2,2
Baseline,expenditure,FY30,187810293.91180497,2.2,2.25
Baseline,expenditure,FY30,189191246.44499993,2.2,2.5
Baseline,expenditure,FY30,190578951.78889504,2.2,2.75
Baseline,expenditure,FY30,191973426.41376004,2.2,3
Baseline,expenditure,FY30,193374686.789865,2.2,3.25
Baseline,expenditure,FY30,194782749.38747993,2.2,3.5
Baseline,expenditure,FY30,196197630.67687505,2.2,3.75
Baseline,expenditure,FY30,197619347.12832004,2.2,4
Baseline,expenditure,FY30,199047915.212085,2.2,4.25
Baseline,expenditure,FY30,200483351.39843997,2.2,4.5
Baseline,expenditure,FY30,201925672.15765503,2.2,4.75
Baseline,expenditure,FY30,203374893.96000004,2.2,5
Baseline,expenditure,FY30,204831033.275745,2.2,5.25
Baseline,expenditure,FY30,186436077.71904,2.3,2
Baseline,expenditure,FY30,187810293.91180497,2.3,2.25
Baseline,expenditure,FY30,189191246.44499993,2.3,2.5
Baseline,expenditure,FY30,190578951.78889504,2.3,2.75
Baseline,expenditure,FY30,191973426.41376004,2.3,3
Baseline,expenditure,FY30,193374686.789865,2.3,3.25
